topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788412650.5480278,1788412650.5471952,exp2a_m1_r1_unloaded_serial,M1_R1,0.33517404359991065,0.33375884498417197,0.33425364046971356,0.05862920477072521,0.05489897821570822,0.05121784500022907,-0.019999999999999997,0.11,0.04993590884812724,-0.05111203318348543,-0.02397422519823682,-0.009128144042775763,-0.05111203318348543,-0.02397422519823682,-0.009128144042775763
/multi_agv/controller_state,1788412650.557906,1788412650.5572927,exp2a_m1_r1_unloaded_serial,M1_R1,0.3359260881768561,0.3346275298861469,0.3349740915669807,0.05943386704329363,0.05838222067630241,0.05289737779576405,-0.019999999999999997,0.11,0.04993590884812724,-0.056629455147805666,-0.04364301111769181,-0.01998184425864135,-0.056629455147805666,-0.04364301111769181,-0.01998184425864135
/multi_agv/controller_state,1788412650.5682132,1788412650.567191,exp2a_m1_r1_unloaded_serial,M1_R1,0.33559826358658057,0.3350672722268008,0.3354308554378028,0.03935137336109968,0.05769882135194953,0.05374020976646457,-0.019999999999999997,0.11,0.04993590884812724,0.04975552328794189,-0.03988130136035405,-0.024484581319798585,0.04975552328794189,-0.03988130136035405,-0.024484581319798585
/multi_agv/controller_state,1788412650.5783625,1788412650.5772822,exp2a_m1_r1_unloaded_serial,M1_R1,0.3360048460016678,0.3355870624721451,0.33626611230121956,0.0382564825857789,0.054827678573442055,0.05689285704343158,-0.019999999999999997,0.11,0.04993498302897692,0.055754901917095936,-0.025476307841970764,-0.0442887812258262,0.055754901917095936,-0.025476307841970764,-0.0442887812258262
/multi_agv/controller_state,1788412650.5879915,1788412650.5871851,exp2a_m1_r1_unloaded_serial,M1_R1,0.336402862360979,0.3359900638858027,0.3366980234374331,0.0405421004015063,0.05395927521029523,0.056355822522533815,-0.019999999999999997,0.11,0.04993498302897692,0.04484850347078986,-0.02057174646303016,-0.04088359658522249,0.04484850347078986,-0.02057174646303016,-0.04088359658522249
/multi_agv/controller_state,1788412650.5981023,1788412650.5973058,exp2a_m1_r1_unloaded_serial,M1_R1,0.33716650211476984,0.3366290022193311,0.3368187529862897,0.04514753275301593,0.053808918006390226,0.047102214563985924,-0.019999999999999997,0.11,0.04993498302897692,0.020212704986569418,-0.020567423658793396,0.013791188362368947,0.020212704986569418,-0.020567423658793396,0.013791188362368947
/multi_agv/controller_state,1788412650.6079774,1788412650.6071908,exp2a_m1_r1_unloaded_serial,M1_R1,0.33768127336699283,0.33706839004242684,0.33701068396138034,0.04902324195976544,0.053987952499811656,0.04246087970750691,-0.019999999999999997,0.11,0.04993498302897692,0.0004479663313750202,-0.021163049173825502,0.042096239245887276,0.0004479663313750202,-0.021163049173825502,0.042096239245887276
/multi_agv/controller_state,1788412650.6177142,1788412650.617167,exp2a_m1_r1_unloaded_serial,M1_R1,0.33809938334409156,0.33766757280971066,0.33773470484863655,0.046156580826274295,0.053201534456078975,0.046036593225162445,-0.019999999999999997,0.11,0.04993382535899186,0.01541492573232224,-0.017775084832112643,0.02031276093447948,0.01541492573232224,-0.017775084832112643,0.02031276093447948
/multi_agv/controller_state,1788412650.627809,1788412650.6271572,exp2a_m1_r1_unloaded_serial,M1_R1,0.3382806773442777,0.33769694432434944,0.3366023196744386,0.04146457248513474,0.04329414877339147,0.00856813174019692,-0.019999999999999997,0.11,0.04993382535899186,0.040836554403402586,0.03466229365622997,0.21916544324077789,0.040836554403402586,0.03466229365622997,0.21916544324077789
/multi_agv/controller_state,1788412650.6377146,1788412650.637217,exp2a_m1_r1_unloaded_serial,M1_R1,0.33917751064006674,0.3383436333214857,0.33715026839036694,0.04812412243085207,0.04543764581711474,0.016000366711800527,-0.019999999999999997,0.11,0.04993382535899186,0.0050152238985143975,0.02314020111114724,0.19000930881430184,0.0050152238985143975,0.02314020111114724,0.19000930881430184
/multi_agv/controller_state,1788412650.647733,1788412650.6471596,exp2a_m1_r1_unloaded_serial,M1_R1,0.3397617342652422,0.33877913954864514,0.3372260828768512,0.053088119949075065,0.047257090892233164,0.014694438019898082,-0.019999999999999997,0.11,0.04993382535899186,-0.020675409116054214,0.014343667783593639,0.19776541957613114,-0.020675409116054214,0.014343667783593639,0.19776541957613114
/multi_agv/controller_state,1788412650.6576617,1788412650.65715,exp2a_m1_r1_unloaded_serial,M1_R1,0.3400748127953263,0.3395403417024495,0.33924557008699135,0.033909210756718905,0.04406645787049707,0.04354545745173148,-0.019999999999999997,0.11,0.04993301905586184,0.0768302950674804,0.02890715496814522,0.03773752754549775,0.0768302950674804,0.02890715496814522,0.03773752754549775
/multi_agv/controller_state,1788412650.6677654,1788412650.6672354,exp2a_m1_r1_unloaded_serial,M1_R1,0.3400748127953263,0.3395403417024495,0.33924557008699135,0.033909210756718905,0.04406645787049707,0.04354545745173148,-0.019999999999999997,0.11,0.04993301905586184,0.07948159803414268,0.031669946226961954,0.040888232828809885,0.07948159803414268,0.031669946226961954,0.040888232828809885
/multi_agv/controller_state,1788412650.6776767,1788412650.677161,exp2a_m1_r1_unloaded_serial,M1_R1,0.34099971528226775,0.34059061578502337,0.34028194767065517,0.03961794543721389,0.047331036515687326,0.0443036551682752,-0.019999999999999997,0.11,0.04993301905586184,0.048939052247800374,0.012235492679281704,0.03316846296909076,0.048939052247800374,0.012235492679281704,0.03316846296909076
/multi_agv/controller_state,1788412650.687844,1788412650.6872303,exp2a_m1_r1_unloaded_serial,M1_R1,0.34099971528226775,0.34059061578502337,0.34028194767065517,0.03961794543721389,0.047331036515687326,0.0443036551682752,-0.019999999999999997,0.11,0.04993301905586184,0.051665428003397434,0.015027571794909256,0.03632190782478599,0.051665428003397434,0.015027571794909256,0.03632190782478599
/multi_agv/controller_state,1788412650.6977286,1788412650.697181,exp2a_m1_r1_unloaded_serial,M1_R1,0.34188120025340774,0.3407316792960485,0.34099261042771617,0.04632028724120986,0.0402189582403088,0.04729734814222409,-0.019999999999999997,0.11,0.04993257421614433,0.01581020912498509,0.05245133312836677,0.017916777468391,0.01581020912498509,0.05245133312836677,0.017916777468391
/multi_agv/controller_state,1788412650.707734,1788412650.707212,exp2a_m1_r1_unloaded_serial,M1_R1,0.342254134765885,0.341066570230292,0.3415876937204662,0.046439838883951305,0.040549294741181074,0.052709390624570675,-0.019999999999999997,0.11,0.04993257421614433,0.01591731610350043,0.05172204539342421,-0.013385681023208747,0.01591731610350043,0.05172204539342421,-0.013385681023208747
/multi_agv/controller_state,1788412650.7178786,1788412650.7173345,exp2a_m1_r1_unloaded_serial,M1_R1,0.34279854236823676,0.34168330802132735,0.34243274087709924,0.04618095821514795,0.04271751026803479,0.05626301535008518,-0.019999999999999997,0.11,0.04993257421614433,0.017008804944548327,0.04037322053265512,-0.03557123599809095,0.017008804944548327,0.04037322053265512,-0.03557123599809095
