stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv2_boundary_lower,agv2_boundary_upper,agv3_boundary_lower,agv3_boundary_upper
1788955056.477494,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4874942,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4974914,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5074904,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.51749,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5274992,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5375547,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5476043,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5576184,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5674915,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5774934,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.587592,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.5980468,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6075099,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6175067,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6275446,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6375484,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6475453,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6575513,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6675193,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.677578,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6875222,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.6975446,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7075179,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.717524,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7275817,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7374928,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7476327,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.757491,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7674978,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7776065,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7876294,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.7976153,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8075507,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8175507,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8275597,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8375366,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8475406,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.857543,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8676307,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8776152,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.8876069,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.897564,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.907614,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9176264,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9275248,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.937625,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9476094,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.957615,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9675004,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9774988,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9875274,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.9975293,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955057.0075324,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
