evidence_scope,phase,metric,M1b_R1,M1_R1
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_below_0p7_duration_seconds,2.2799923419952393,1.2602317333221436
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_below_0p7_fraction,0.6161681212550139,0.3406002916672251
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_below_0p5_duration_seconds,2.1502432823181152,0.8898804187774658
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_below_0p5_fraction,0.5811034270175341,0.2405061880052498
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,risk_contraction_minimum,0.0,2.3177058688927943e-08
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,risk_contraction_peak,0.0,0.025690135119711785
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,risk_contraction_mean,0.0,0.009512770248645677
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,risk_contraction_integral,0.0,0.03519754748436599
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,common_velocity_reference_minimum,0.09987795313213917,0.08130986488028821
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,common_velocity_reference_peak,0.0999102319593591,0.09988630362247351
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,common_velocity_reference_mean,0.09989191512720812,0.0944545137346407
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,risk_boundary_active_fraction,0.0,0.5295682933291819
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,risk_boundary_active_duration_seconds,0,1.9594192504882812
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,actual_reference_reduction_peak_mps,2.9394032631940847e-06,0.007017796935220533
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,actual_reference_reduction_mean_mps,-2.69943757024019e-08,0.0016391154961638698
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,actual_reference_reduction_positive_fraction,0.04594594594594595,0.5486486486486486
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,upper_clipping_reduction_peak_mps,0.0,0.007017796935220533
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,upper_clipping_reduction_mean_mps,0.0,0.0016387131748811787
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,actual_reference_reduction_definition,same_run_candidate_common_velocity_minus_published_common_velocity,same_run_candidate_common_velocity_minus_published_common_velocity
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,controller_raw_wheel_peak_mps,0.17742514132544246,0.15884036074103786
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,controller_raw_wheel_rms_mps,0.1270558271832658,0.12076858744059007
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,controller_raw_above_0p150_duration_seconds,2.4302589893341064,1.9494903087615967
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_demand_capability_ratio_peak,1.1089071332840152,0.9927522546314865
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,disturbed_wheel_peak_mps,0.1710531426273838,0.14745835605561622
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,physical_speed_limiter_duration_seconds,0.26998162269592285,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,heading_error_peak,0.12861003116766326,0.12103979170015444
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,heading_error_IAE,0.3052775358852096,0.29288112480006917
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,heading_error_rms,0.09274272622351601,0.08899047752539885
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,support_error_peak,0.045672106342260606,0.04168861787019098
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,support_error_IAE,0.08689800720494453,0.08268038826182936
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,support_error_rms,0.027810771306480537,0.026190218315609807
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,rigid_fit_error_peak,0.01996278323748874,0.018520848015734084
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,rigid_fit_error_IAE,0.037189741435334676,0.03557587850874489
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,rigid_fit_error_rms,0.01205548260283697,0.01140684885983843
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,pairwise_side_error_peak,0.03836286724274102,0.035727759570076845
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,pairwise_side_error_IAE,0.07128364516354663,0.0685446824479286
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,pairwise_side_error_rms,0.02312599886802424,0.022004349730492114
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,progress_error_peak,0.01258965913374821,0.010494483587622394
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,progress_error_IAE,0.02404800041438067,0.020367059364954063
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,progress_error_rms,0.007667939001207962,0.006355260530492619
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,J_risk_0p5,0.9535453856642994,0.14800334260060724
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,J_risk_0p7,1.397560583626806,0.3616681471047203
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,native_aligned_maximum_spacing_seconds,0.010551691055297852,0.010497570037841797
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,native_aligned_sample_count,370,370
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,controller_raw_above_0p155_duration_seconds,2.160045862197876,0.8901581764221191
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,controller_raw_above_0p160_duration_seconds,1.6502606868743896,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,raw_first_above_0p160_relative_seconds,2.050015687942505,
